Item ID,Name,Width (cm),Depth (cm),Height (cm),Mass (kg),Priority,Expiry Date,Usage Limit,Preferred Zone
88,Cooling Gel,36,38,66,15,96,N/A,184 uses,Crew Quarters
89,Survival Rations,18,31,63,21,88,3/15/2027,126 uses,Medical Bay
90,Antiseptic Cream,45,39,21,9,12,12-01-2026,169 uses,Crew Quarters
91,UV Light,12,34,73,40,64,12-01-2026,32 uses,Airlock
92,Flashlight,23,28,82,28,99,7/22/2028,152 uses,Crew Quarters
93,Pressure Valve,34,31,45,16,51,3/15/2027,117 uses,Airlock
94,Anti-fog Spray,29,15,95,17,19,7/22/2028,7 uses,Crew Quarters
95,Emergency Light,21,23,12,32,27,7/22/2028,169 uses,Airlock
96,Satellite Phone,11,29,44,32,72,7/22/2028,97 uses,Airlock
97,Radiation Badge,49,30,76,35,10,12-01-2026,81 uses,Airlock
98,Biohazard Kit,13,18,49,25,99,12-01-2026,50 uses,Laboratory
99,Radiation Detector,15,14,20,17,28,3/15/2027,13 uses,Storage Bay
100,Weight Belt,47,45,76,17,74,N/A,44 uses,Laboratory
